division_id,division_label,bz_chii,east_rikishi_id,east_chii,east_shikona,east_graph_shikona,east_old_chii,east_result,east_result_movement,east_delta,east_delta_class,east_equelo,west_rikishi_id,west_chii,west_shikona,west_graph_shikona,west_old_chii,west_result,west_result_movement,west_delta,west_delta_class,west_equelo
makuuchi,Makuuchi,Y1,12451,Y1e,Hoshoryu,Hoshoryu,Y1e,11-4 J,,0,neutral,2197,12836,Y1w,Onosato,Onosato,Y1w,0-4-11,,0,neutral,2122
makuuchi,Makuuchi,O1,12270,O1e,Kotozakura,Kotozakura (2015),O1w,10-5,,+0.5,up low,2061,12839,O1w,Aonishiki,Aonishiki,O1e,7-8,,-0.5,down low,1983
makuuchi,Makuuchi,O2,12231,O2e,Kirishima,Kirishima (2015),S1e,12-3 YS,↑,+0.5,up low,2094,,,,,,,,,,
makuuchi,Makuuchi,S1,12664,S1e,Atamifuji,Atamifuji,K1w,9-6,↑,+1.5,up low,1895,12449,S1w,Kotoshoho,Kotoshoho,M5w,11-4 JK,↑,+6.0,up high,1793
makuuchi,Makuuchi,K1,12370,K1e,Wakatakakage,Wakatakakage,M1e,8-6-1,↑,+1.0,up low,2058,6480,K1w,Takayasu,Takayasu,S1w,7-8,↓,-1.0,down low,1998
makuuchi,Makuuchi,M1,12800,M1e,Fujinokawa,Fujinokawa (2023),M2e,8-7 G,,+1.0,up low,1766,11855,M1w,Takanosho,Takanosho (2010),M4w,9-6,,+3.0,up mid,1838
makuuchi,Makuuchi,M2,12884,M2e,Yoshinofuji,Yoshinofuji (2024),M1w,7-8,,-0.5,down low,1829,12362,M2w,Ichiyamamoto,Ichiyamamoto,M6e,9-6,,+3.5,up high,1770
makuuchi,Makuuchi,M3,12314,M3e,Hiradoumi,Hiradoumi,M3e,7-8,,0,neutral,1838,12453,M3w,Oho,Oho,M3w,7-8,,0,neutral,1855
makuuchi,Makuuchi,M4,11985,M4e,Daieisho,Daieisho,M4e,7-8,,0,neutral,1942,12688,M4w,Gonoyama,Gonoyama,M10e,10-5,,+5.5,up high,1796
makuuchi,Makuuchi,M5,11980,M5e,Wakamotoharu,Wakamotoharu,K1e,3-12,↓,-5.0,down high,1903,12130,M5w,Shodai,Shodai,M8w,8-7,,+3.0,up mid,1722
makuuchi,Makuuchi,M6,12320,M6e,Churanoumi,Churanoumi,M2w,4-11,,-3.5,down high,1716,12702,M6w,Fujiseiun,Fujiseiun,M13w,10-5 K,,+7.0,up high,1752
makuuchi,Makuuchi,M7,11785,M7e,Chiyoshoma,Chiyoshoma,M14e,10-5,,+7.0,up high,1737,12710,M7w,Asakoryu,Asakoryu,M12e,9-6,,+4.5,up high,1700
makuuchi,Makuuchi,M8,12717,M8e,Oshoma,Oshoma,M7e,6-9,,-1.0,down low,1722,12784,M8w,Asahakuryu,Asahakuryu,M16e,10-5,,+7.5,up high,1773
makuuchi,Makuuchi,M9,12094,M9e,Abi,Abi,M5e,4-6-5,,-4.0,down high,1854,12351,M9w,Nishikifuji,Nishikifuji,M14w,9-6,,+5.0,up high,1780
makuuchi,Makuuchi,M10,12291,M10e,Asanoyama,Asanoyama,M12w,8-7,,+2.5,up mid,2068,12796,M10w,Hakunofuji,Hakunofuji,M7w,5-6-4,,-3.0,down mid,1828
makuuchi,Makuuchi,M11,12226,M11e,Ura,Ura,M8e,5-10,,-3.0,down mid,1761,12721,M11w,Kinbozan,Kinbozan,M16w,9-6,,+5.0,up high,1730
makuuchi,Makuuchi,M12,12599,M12e,Shishi,Shishi,M11e,6-9,,-1.0,down low,1705,12542,M12w,Tokihayate,Tokihayate,M9e,5-10,,-3.5,down high,1676
makuuchi,Makuuchi,M13,12729,M13e,Kotoeiho,Kotoeiho,M17w,9-6,,+4.5,up high,1684,5944,M13w,Tamawashi,Tamawashi,M9w,5-10,,-4.0,down high,1751
makuuchi,Makuuchi,M14,12210,M14e,Mitakeumi,Mitakeumi,M15w,8-7,,+1.5,up low,1692,12516,M14w,Roga,Roga,M10w,5-10,,-4.0,down high,1681
makuuchi,Makuuchi,M15,12203,M15e,Tobizaru,Tobizaru,M13e,6-9,,-2.0,down mid,1710,12634,M15w,Oshoumi,Oshoumi,M11w,5-10,,-4.0,down high,1661
makuuchi,Makuuchi,M16,12730,M16e,Wakanosho,Wakanosho (2022),J3w,11-4 D,↑,+4.5,up high,1715,6594,M16w,Ryuden,Ryuden,J1e,9-6,↑,+1.5,up low,1678
makuuchi,Makuuchi,M17,12945,M17e,Fujiryoga,Fujiryoga,M17e,7-8,,0,neutral,1687,,,,,,,,,,
juryo,Juryo,J1,12840,J1e,Onokatsu,Onokatsu,M6w,1-6-8,↓,-11.5,down high,1731,12725,J1w,Daiseizan,Daiseizan,J3e,8-7,,+1.5,up low,1606
juryo,Juryo,J2,2879,J2e,Sadanoumi,Sadanoumi (2003),J1w,7-8,,-0.5,down low,1612,12780,J2w,Takerufuji,Takerufuji,J4w,8-7,,+2.0,up mid,1763
juryo,Juryo,J3,12592,J3e,Dewanoryu,Dewanoryu,J10e,11-4 Y,,+7.0,up high,1660,12732,J3w,Hatsuyama,Hatsuyama,J9w,10-5,,+6.0,up high,1650
juryo,Juryo,J4,12841,J4e,Kyokukaiyu,Kyokukaiyu,J7w,9-6,,+3.5,up high,1621,12894,J4w,Asasuiryu,Asasuiryu,J2e,6-9,,-2.5,down mid,1594
juryo,Juryo,J5,12427,J5e,Tomokaze,Tomokaze,J2w,6-9,,-2.5,down mid,1583,12548,J5w,Kitanowaka,Kitanowaka (2019),J8w,9-6,,+3.0,up mid,1611
juryo,Juryo,J6,12896,J6e,Kazuma,Kazuma,J11e,10-5,,+5.0,up high,1630,11946,J6w,Meisei,Meisei,J7e,8-7,,+0.5,up low,1627
juryo,Juryo,J7,11845,J7e,Kagayaki,Kagayaki,J5e,7-8,,-2.0,down mid,1555,12852,J7w,Toshinofuji,Toshinofuji (2024),J11w,10-5,,+4.0,up high,1551
juryo,Juryo,J8,12162,J8e,Shonannoumi,Shonannoumi,J8e,8-7,,0,neutral,1561,12773,J8w,Shirokuma,Shirokuma,J5w,7-8,,-3.0,down mid,1544
juryo,Juryo,J9,12523,J9e,Nishinoryu,Nishinoryu,J4e,6-9,,-5.0,down high,1548,12774,J9w,Kayo,Kayo,J6w,7-8,,-3.0,down mid,1536
juryo,Juryo,J10,12575,J10e,Tohakuryu,Tohakuryu,J10w,8-7,,+0.5,up low,1479,12352,J10w,Midorifuji,Midorifuji,M15e,0-0-15,↓,-12.5,down high,1686
juryo,Juryo,J11,12767,J11e,Kazekeno,Kazekeno,J14e,9-6,,+3.0,up mid,1502,6596,J11w,Nishikigi,Nishikigi,J12e,8-7,,+0.5,up low,1498
juryo,Juryo,J12,12704,J12e,Hitoshi,Hitoshi,J6e,5-10,,-6.0,down high,1474,11976,J12w,Tamashoho,Tamashoho,J9e,6-9,,-3.5,down high,1457
juryo,Juryo,J13,12885,J13e,Okaryu,Okaryu,Ms2w,6-1,↑,+3.5,up high,1565,11943,J13w,Hakuyozan,Hakuyozan,Ms2e,5-2,↑,+2.5,up mid,1424
juryo,Juryo,J14,12448,J14e,Tochitaikai,Tochitaikai (2017),Ms1w,4-3,↑,+1.5,up low,1515,12412,J14w,Enho,Enho,Ms4e,5-2,↑,+3.5,up high,1666
makushita,Makushita,Ms1,12114,Ms1e,Takakento,Takakento,Ms3e,4-3,,+2.0,up mid,1530,12946,Ms1w,Fujitensei,Fujitensei,J13w,5-10,↓,-2.0,down mid,1434
makushita,Makushita,Ms2,12876,Ms2e,Arashifuji,Arashifuji (2024),Ms7e,5-2,,+5.0,up high,1472,12024,Ms2w,Shimanoumi,Shimanoumi,Ms5e,4-3,,+2.5,up mid,1390
makushita,Makushita,Ms3,12970,Ms3e,Wakanofuji,Wakanofuji (2025),Ms28e,7-0 Y,,+25.0,up high,1451,11809,Ms3w,Kotokuzan,Kotokuzan,J14w,4-11,↓,-3.0,down mid,1398
makushita,Makushita,Ms4,12795,Ms4e,Himukamaru,Himukamaru,Ms1e,3-4,,-3.0,down mid,1431,12733,Ms4w,Gojinyu,Gojinyu,Ms10e,5-2,,+5.5,up high,1462
makushita,Makushita,Ms5,12536,Ms5e,Tokifudo,Yoshii,Ms8e,4-3,,+3.0,up mid,1445,12858,Ms5w,Daikosho,Daikosho,Ms17w,6-1,,+12.0,up high,1398
makushita,Makushita,Ms6,12751,Ms6e,Tanji,Tanji,Ms12w,5-2,,+6.5,up high,1465,12956,Ms6w,Hanaoka,Hanaoka (2025),Ms9e,4-3,,+2.5,up mid,1422
makushita,Makushita,Ms7,12561,Ms7e,Otsuji,Otsuji,Ms4w,3-4,,-2.5,down mid,1449,12868,Ms7w,Fujisodai,Fujisodai,Ms5w,3-4,,-2.0,down mid,1359
