players,converged,search_start_events,tested_events,first_stable_event,implied_event_bucket,persistence_after_first_stable,final_mean_gap_rmse,elapsed_seconds
20,1,100,150,131,150,1.0,3.2984533047017797,1.2559024000074714
30,1,150,200,197,200,1.0,3.2486179209536696,3.8302982000168413
40,1,200,250,244,250,1.0,3.2236905045250235,8.66354360000696
50,1,300,350,348,350,1.0,3.218967630949938,19.507021700032055
60,1,400,450,446,450,1.0,3.509557413752447,37.427176899975166
70,1,550,600,563,600,1.0,2.940884876462054,67.44504070002586
80,1,700,750,715,750,1.0,3.132367184790886,111.33787599997595
90,1,850,900,884,900,1.0,3.4602800966396723,162.4178197000292
100,1,1050,1100,1084,1100,1.0,3.282194771638375,251.44309750001412
150,1,2350,2400,2362,2400,1.0,3.7729545672499203,1209.8437568999943
