module_name,distance_from_root,scope,action,artifact,artifact_kind,evidence,line_number,confidence
src.products.make_site2.build,1,build_site,write,X:/Sumo-Tools/files/output/make_site2/index.html,concrete,write_text(),104,high
src.products.make_site2.build,1,build_site,write,X:/Sumo-Tools/files/output/make_site2/runtime/site-manifest.json,concrete,write_text(),112,high
src.products.make_site2.build,1,copy_runtime_modules,glob,X:/Sumo-Tools/src/products/make_site2/runtime/site-refactor/*,concrete,rglob(),138,high
src.products.make_site2.build,1,copy_runtime_modules,read,X:/Sumo-Tools/src/products/make_site2/runtime/site-refactor/*,concrete,read_text(),144,high
src.products.make_site2.build,1,copy_runtime_modules,write,X:/Sumo-Tools/files/output/make_site2/runtime/*,concrete,write_text(),146,high
src.products.make_site2.build,1,count_output_files,glob,X:/Sumo-Tools/files/output/make_site2/*,concrete,rglob(),162,high
src.products.make_site2.deploy,1,count_files,glob,root/*,concrete,rglob(),57,high
src.products.make_site2.deploy,1,deploy_local,glob,build_output.root/*,concrete,rglob(),66,high
src.products.make_site2.deploy,1,deploy_remote,glob,build_output.root/*,concrete,rglob(),160,high
src.infra.live_store.api,2,get_history,read,files/output/store_name.txt,concrete,read_text(),59,high
src.infra.live_store.api,2,write_published_name,write,files/output/store_name.txt,concrete,write_text(),88,high
src.analysis.sumo_history.basho_results.reports,3,write_index,write,X:/Sumo-Tools/files/output/make_site2/sumo-history/basho-results/data/basho_results_index.json,concrete,write_text(),54,high
src.products.make_site2.perf_chart.build,3,write_master_data,write,files/output/perf_chart/career_comparisons/trajectory_master.json,concrete,write_bytes(),42,high
src.products.make_site2.perf_chart.build,3,write_master_data,write,files/output/perf_chart/career_comparisons/trajectory_master_report.json,concrete,write_text(),46,high
src.infra.get_bios.api,4,load_bio_store,read,files/output/infra/get_bios/rikishi_bios.json,concrete,read_text(),130,high
src.infra.get_bios.parser,5,main,glob,files/output/infra/get_bios/rikishi/*.html,concrete,glob(),390,high
src.infra.get_bios.parser,5,main,read,path,symbolic,read_text(),401,low
src.infra.get_bios.parser,5,main,write,files/output/infra/get_bios/rikishi_bio_missing_fields.csv,concrete,"open(..., mode='w')",450,high
src.infra.get_bios.parser,5,main,write,files/output/infra/get_bios/rikishi_bios.json,concrete,"open(..., mode='w')",455,high
src.infra.parser.parser2_margin,5,_parse_raw_marginalia,read,fn,symbolic,"open(..., mode='r')",33,low
src.infra.parser.parser_daily,5,_parse_daily_results,read,fn,symbolic,"open(..., mode='r')",44,low
src.infra.parser.parser_warning_logger,5,initialise,write,"os.path.join(output_dir, 'banzuke warnings.html')",expression,"open(..., mode='w')",35,medium
src.infra.parser.parser_warning_logger,5,initialise,write,"os.path.join(output_dir, 'file-format weirdness.html')",expression,"open(..., mode='w')",39,medium
src.infra.parser.parser_warning_logger,5,log_validation_warnings,write,f'{self.output_dir}/warnings/state {year} {month:02d}.txt',expression,"open(..., mode='w')",66,medium
src.infra.parser.parser_warning_logger,5,log_chii_warnings,write,f'{self.output_dir}/warnings/chii {year} {month:02d}.txt',expression,"open(..., mode='w')",76,medium
src.analysis.equelo.expt1.params,6,load_divisional_k_fn,read,files/input/elo_fide.json,concrete,"open(..., mode='r')",94,high
