artifact,artifact_kind,read_count,write_count,glob_count,producer_modules,consumer_modules
X:/Sumo-Tools/files/output/make_site2/*,concrete,0,0,1,,src.products.make_site2.build
X:/Sumo-Tools/files/output/make_site2/index.html,concrete,0,1,0,src.products.make_site2.build,
X:/Sumo-Tools/files/output/make_site2/runtime/*,concrete,0,1,0,src.products.make_site2.build,
X:/Sumo-Tools/files/output/make_site2/runtime/site-manifest.json,concrete,0,1,0,src.products.make_site2.build,
X:/Sumo-Tools/files/output/make_site2/sumo-history/basho-results/data/basho_results_index.json,concrete,0,1,0,src.analysis.sumo_history.basho_results.reports,
X:/Sumo-Tools/src/products/make_site2/runtime/site-refactor/*,concrete,1,0,1,,src.products.make_site2.build
build_output.root/*,concrete,0,0,2,,src.products.make_site2.deploy
f'{self.output_dir}/warnings/chii {year} {month:02d}.txt',expression,0,1,0,src.infra.parser.parser_warning_logger,
f'{self.output_dir}/warnings/state {year} {month:02d}.txt',expression,0,1,0,src.infra.parser.parser_warning_logger,
files/input/elo_fide.json,concrete,1,0,0,,src.analysis.equelo.expt1.params
files/output/infra/get_bios/rikishi/*.html,concrete,0,0,1,,src.infra.get_bios.parser
files/output/infra/get_bios/rikishi_bio_missing_fields.csv,concrete,0,1,0,src.infra.get_bios.parser,
files/output/infra/get_bios/rikishi_bios.json,concrete,1,1,0,src.infra.get_bios.parser,src.infra.get_bios.api
files/output/perf_chart/career_comparisons/trajectory_master.json,concrete,0,1,0,src.products.make_site2.perf_chart.build,
files/output/perf_chart/career_comparisons/trajectory_master_report.json,concrete,0,1,0,src.products.make_site2.perf_chart.build,
files/output/store_name.txt,concrete,1,1,0,src.infra.live_store.api,src.infra.live_store.api
fn,symbolic,2,0,0,,src.infra.parser.parser2_margin;src.infra.parser.parser_daily
"os.path.join(output_dir, 'banzuke warnings.html')",expression,0,1,0,src.infra.parser.parser_warning_logger,
"os.path.join(output_dir, 'file-format weirdness.html')",expression,0,1,0,src.infra.parser.parser_warning_logger,
path,symbolic,1,0,0,,src.infra.get_bios.parser
root/*,concrete,0,0,1,,src.products.make_site2.deploy
